Alpha,0.625,0.3125,0.15625,0.078125,0.0390625,0.01953125
Chain,0.285,0.12,0.02,0.0,0.005,0.005
Open Addressing, 0.775, 0.18, 0.085, 0.085, 0.015, 0.0
