Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
N_operations_naive,2,8,18,32,50,72,98,128,162,200,242,288,338,392,450
N_operations_karatsuba,1,9,33,33,105,105,105,105,321,321,321,321,321,321,321
